Rank,LocusId,Gene,ConsensusScore,N_exp
1,4-139889903-139889966-TGC,MAML3,44.0,3
2,4-146639305-146639344-GGC,POU4F2,28.0,2
3,4-78870928-78871009-CAG,BMP2K,25.0,2
4,13-99970407-99970449-GGC,ZIC5,20.0,2
5,1-153934796-153934847-CTG,DENND4B,20.0,2
6,16-67195890-67195935-CAG,E2F4,20.0,1
7,7-5312914-5313034-GAT,TNRC18,20.0,1
8,12-102958393-102958429-GCA,ASCL1,19.0,3
9,7-15686163-15686199-TGG,MEOX2,19.0,1
10,1-154869723-154869765-GCT,KCNN3,19.0,1
11,12-132062548-132062611-CAG,EP400,18.0,3
12,7-27199700-27199730-GCA,HOXA13,18.0,1
13,14-77027412-77027484-TGT,IRF2BPL,18.0,1
14,19-13207858-13207897-CTG,CACNA1A,18.0,1
15,9-2039764-2039824-CAG,SMARCA2,17.0,2
16,7-97006108-97006141-GCC,DLX6,17.0,1
17,X-67546514-67546565-GGC,AR,17.0,1
18,13-71866406-71866430-GCC,DACH1,16.0,1
19,7-5312881-5312995-GAA,TNRC18,16.0,1
20,12-102958344-102958374-CCG,ASCL1,15.0,1
21,8-123369897-123369978-TCT,ATAD2,15.0,1
22,17-75589192-75589225-GGC,MYO15B,15.0,1
23,2-85133696-85133726-GGC,TCF7L1,14.0,1
24,3-65439885-65439945-CTG,MAGI1,14.0,1
25,15-99712504-99712537-CAG,MEF2A,13.0,2
26,7-20785321-20785357-GCC,SP8,13.0,1
27,4-41745972-41746032-GCN,PHOX2B,13.0,1
28,19-2015541-2015580-GGC,BTBD2,13.0,1
29,20-57488407-57488470-TCT,HMGB1P1,12.0,1
30,3-40462029-40462059-CTG,RPL14,12.0,1
31,X-24364256-24364311-TGC,SUPT20HL1,11.0,1
32,19-42225147-42225159-GAG,ZNF526,10.0,1
33,2-73385903-73385951-GGA,ALMS1,10.0,1
34,3-138946024-138946057-GCT,FOXL2,9.0,1
35,22-27798894-27798978-TGC,MN1,8.0,1
36,3-113657263-113657300-TGC,USF3,7.0,1
37,16-2768157-2768196-TCT,SRRM2,6.0,1
38,11-130121739-130121790-GAA,APLP2,5.0,1
39,14-23104886-23104919-GCA,CIROP,5.0,1
40,20-47651089-47651158-CAA,NCOA3,4.0,1
41,15-89333590-89333629-TGC,POLG,4.0,1
42,12-6667903-6667945-TGC,ZNF384,3.0,1
43,9-97854412-97854451-GCC,FOXE1,3.0,1
44,13-71866526-71866550-GCC,DACH1,2.0,1
45,20-35226773-35226798-GCC,MMP24,2.0,1
46,9-136383542-136383569-GCT,SNAPC4,1.0,1
47,9-127695053-127695107-TGA,PTRH1,1.0,1
48,2-20667362-20667388-GGC,GDF7,1.0,1
